=== Tenant Migration Log Started: 2026-01-17T07:29:34.603968300 ===
[07:29:34] [11] [users] WARNING: Collision. Renaming 33 -> 33_1768627774616
[07:29:34] [11] [users] 33 -> 33_1768627774616 [OK]
[07:29:34] [3] [categories] 34 -> 34 [OK]
[07:29:34] [3] [categories] 35 -> 35 [OK]
[07:29:34] [4] [categories] 1 -> 1 [OK]
[07:29:34] [4] [categories] 10 -> 10 [OK]
[07:29:34] [4] [categories] 11 -> 11 [OK]
[07:29:34] [4] [categories] 12 -> 12 [OK]
[07:29:34] [4] [categories] 13 -> 13 [OK]
[07:29:34] [4] [categories] 14 -> 14 [OK]
[07:29:34] [4] [categories] 15 -> 15 [OK]
[07:29:34] [4] [categories] 16 -> 16 [OK]
[07:29:34] [4] [categories] 17 -> 17 [OK]
[07:29:34] [4] [categories] 18 -> 18 [OK]
[07:29:34] [4] [categories] 19 -> 19 [OK]
[07:29:34] [4] [categories] 2 -> 2 [OK]
[07:29:34] [4] [categories] 20 -> 20 [OK]
[07:29:34] [4] [categories] 21 -> 21 [OK]
[07:29:34] [4] [categories] 22 -> 22 [OK]
[07:29:34] [4] [categories] 23 -> 23 [OK]
[07:29:34] [4] [categories] 24 -> 24 [OK]
[07:29:34] [4] [categories] 25 -> 25 [OK]
[07:29:34] [4] [categories] 26 -> 26 [OK]
[07:29:34] [4] [categories] 27 -> 27 [OK]
[07:29:34] [4] [categories] 28 -> 28 [OK]
[07:29:34] [4] [categories] 29 -> 29 [OK]
[07:29:34] [4] [categories] 3 -> 3 [OK]
[07:29:34] [4] [categories] 30 -> 30 [OK]
[07:29:34] [4] [categories] 31 -> 31 [OK]
[07:29:34] [4] [categories] 5 -> 5 [OK]
[07:29:34] [4] [categories] 6 -> 6 [OK]
[07:29:34] [4] [categories] 8 -> 8 [OK]
[07:29:34] [4] [categories] 9 -> 9 [OK]
[07:29:34] [4] [customers] WARNING: Collision. Renaming 10 -> 10_1768627774747
[07:29:34] [4] [customers] 10 -> 10_1768627774747 [OK]
[07:29:34] [4] [customers] WARNING: Collision. Renaming 18 -> 18_1768627774761
[07:29:34] [4] [customers] 18 -> 18_1768627774761 [OK]
[07:29:34] [4] [customers] WARNING: Collision. Renaming 7 -> 7_1768627774764
[07:29:34] [4] [customers] 7 -> 7_1768627774764 [OK]
[07:29:34] [4] [customers] 87 -> 87 [OK]
[07:29:34] [4] [customers] 88 -> 88 [OK]
[07:29:34] [4] [products] 1 -> 1 [OK]
[07:29:34] [4] [products] 10 -> 10 [OK]
[07:29:34] [4] [products] 100 -> 100 [OK]
[07:29:34] [4] [products] 101 -> 101 [OK]
[07:29:34] [4] [products] 102 -> 102 [OK]
[07:29:34] [4] [products] 103 -> 103 [OK]
[07:29:34] [4] [products] 104 -> 104 [OK]
[07:29:34] [4] [products] 105 -> 105 [OK]
[07:29:34] [4] [products] 106 -> 106 [OK]
[07:29:34] [4] [products] 11 -> 11 [OK]
[07:29:34] [4] [products] 12 -> 12 [OK]
[07:29:34] [4] [products] 14 -> 14 [OK]
[07:29:34] [4] [products] 15 -> 15 [OK]
[07:29:34] [4] [products] 16 -> 16 [OK]
[07:29:34] [4] [products] 17 -> 17 [OK]
[07:29:34] [4] [products] 18 -> 18 [OK]
[07:29:34] [4] [products] 19 -> 19 [OK]
[07:29:34] [4] [products] 2 -> 2 [OK]
[07:29:34] [4] [products] 20 -> 20 [OK]
[07:29:34] [4] [products] 21 -> 21 [OK]
[07:29:34] [4] [products] 22 -> 22 [OK]
[07:29:34] [4] [products] 23 -> 23 [OK]
[07:29:34] [4] [products] 24 -> 24 [OK]
[07:29:34] [4] [products] 25 -> 25 [OK]
[07:29:34] [4] [products] 26 -> 26 [OK]
[07:29:34] [4] [products] 27 -> 27 [OK]
[07:29:34] [4] [products] 28 -> 28 [OK]
[07:29:34] [4] [products] 29 -> 29 [OK]
[07:29:34] [4] [products] 3 -> 3 [OK]
[07:29:34] [4] [products] 30 -> 30 [OK]
[07:29:34] [4] [products] 31 -> 31 [OK]
[07:29:34] [4] [products] 32 -> 32 [OK]
[07:29:34] [4] [products] 33 -> 33 [OK]
[07:29:34] [4] [products] 34 -> 34 [OK]
[07:29:34] [4] [products] 35 -> 35 [OK]
[07:29:34] [4] [products] 36 -> 36 [OK]
[07:29:34] [4] [products] 37 -> 37 [OK]
[07:29:34] [4] [products] 38 -> 38 [OK]
[07:29:34] [4] [products] 39 -> 39 [OK]
[07:29:34] [4] [products] 40 -> 40 [OK]
[07:29:34] [4] [products] 41 -> 41 [OK]
[07:29:34] [4] [products] 42 -> 42 [OK]
[07:29:34] [4] [products] 43 -> 43 [OK]
[07:29:34] [4] [products] 44 -> 44 [OK]
[07:29:34] [4] [products] 45 -> 45 [OK]
[07:29:34] [4] [products] 46 -> 46 [OK]
[07:29:34] [4] [products] 47 -> 47 [OK]
[07:29:34] [4] [products] 48 -> 48 [OK]
