=== Tenant Migration Log Started: 2026-01-18T04:47:10.563795300 ===
[04:47:10] [4] [brands] 1 -> 1 [OK]
[04:47:10] [4] [brands] 10 -> 10 [OK]
[04:47:10] [4] [brands] 11 -> 11 [OK]
[04:47:10] [4] [brands] 12 -> 12 [OK]
[04:47:10] [4] [brands] 13 -> 13 [OK]
[04:47:10] [4] [brands] 14 -> 14 [OK]
[04:47:10] [4] [brands] 15 -> 15 [OK]
[04:47:10] [4] [brands] 16 -> 16 [OK]
[04:47:10] [4] [brands] 17 -> 17 [OK]
[04:47:10] [4] [brands] 18 -> 18 [OK]
[04:47:10] [4] [brands] 19 -> 19 [OK]
[04:47:10] [4] [brands] 2 -> 2 [OK]
[04:47:10] [4] [brands] 20 -> 20 [OK]
[04:47:10] [4] [brands] 21 -> 21 [OK]
[04:47:10] [4] [brands] 22 -> 22 [OK]
[04:47:10] [4] [brands] 23 -> 23 [OK]
[04:47:10] [4] [brands] 24 -> 24 [OK]
[04:47:10] [4] [brands] 25 -> 25 [OK]
[04:47:10] [4] [brands] 26 -> 26 [OK]
[04:47:10] [4] [brands] 27 -> 27 [OK]
[04:47:10] [4] [brands] 28 -> 28 [OK]
[04:47:10] [4] [brands] 29 -> 29 [OK]
[04:47:10] [4] [brands] 3 -> 3 [OK]
[04:47:10] [4] [brands] 30 -> 30 [OK]
[04:47:10] [4] [brands] 31 -> 31 [OK]
[04:47:10] [4] [brands] 32 -> 32 [OK]
[04:47:10] [4] [brands] 33 -> 33 [OK]
[04:47:10] [4] [brands] 34 -> 34 [OK]
[04:47:10] [4] [brands] 35 -> 35 [OK]
[04:47:10] [4] [brands] 36 -> 36 [OK]
[04:47:10] [4] [brands] 37 -> 37 [OK]
[04:47:10] [4] [brands] 38 -> 38 [OK]
[04:47:10] [4] [brands] 39 -> 39 [OK]
[04:47:10] [4] [brands] 4 -> 4 [OK]
[04:47:10] [4] [brands] 40 -> 40 [OK]
[04:47:10] [4] [brands] 41 -> 41 [OK]
[04:47:10] [4] [brands] 42 -> 42 [OK]
[04:47:10] [4] [brands] 43 -> 43 [OK]
