=== Tenant Migration Log Started: 2026-01-21T21:27:01.049718100 ===
[21:27:01] [1] [brands] 57 -> 57 [OK]
[21:27:01] [1] [products] extras -> extras [OK]
[21:27:01] [10] [brands] Samsung.png -> Samsung.png [OK]
[21:27:01] [10] [products] extras -> extras [OK]
[21:27:01] [10] [users] Frederick Santos.png -> Frederick Santos.png [OK]
[21:27:01] [100] [products] extras -> extras [OK]
[21:27:01] [101] [products] extras -> extras [OK]
[21:27:01] [102] [products] extras -> extras [OK]
[21:27:01] [103] [products] extras -> extras [OK]
[21:27:01] [104] [products] extras -> extras [OK]
[21:27:01] [105] [products] extras -> extras [OK]
[21:27:01] [106] [products] extras -> extras [OK]
[21:27:01] [107] [products] batch-files-automate-670x335.jpg -> batch-files-automate-670x335.jpg [OK]
[21:27:01] [11] [brands] Olympus.png -> Olympus.png [OK]
[21:27:01] [11] [profile] node-debug-icon.png -> node-debug-icon.png [OK]
[21:27:01] [11] [users] 33 -> 33 [OK]
[21:27:01] [11] [users] Anna Maria.jpg -> Anna Maria.jpg [OK]
[21:27:01] [117] [customers] Tulips.jpg -> Tulips.jpg [OK]
[21:27:01] [12] [brands] Caden.png -> Caden.png [OK]
[21:27:01] [12] [products] extras -> extras [OK]
[21:27:01] [12] [users] 9229155e95b85d9466a466621062a9fe.png -> 9229155e95b85d9466a466621062a9fe.png [OK]
[21:27:01] [12] [users] Satya Narayana.png -> Satya Narayana.png [OK]
[21:27:01] [124] [products] 0afbcdc2d1724cbb3322f4f57b62fb67.png -> 0afbcdc2d1724cbb3322f4f57b62fb67.png [OK]
[21:27:01] [13] [brands] amazonbasics.png -> amazonbasics.png [OK]
[21:27:01] [13] [users] Matthew.png -> Matthew.png [OK]
[21:27:01] [139] [customers] Penguins.jpg -> Penguins.jpg [OK]
[21:27:01] [14] [brands] Nikon.png -> Nikon.png [OK]
[21:27:01] [14] [products] extras -> extras [OK]
[21:27:01] [14] [users] Dave Kumar.png -> Dave Kumar.png [OK]
[21:27:01] [144] [customers] Penguins.jpg -> Penguins.jpg [OK]
[21:27:01] [144] [customers] Tulips.jpg -> Tulips.jpg [OK]
[21:27:01] [15] [brands] Neewer.png -> Neewer.png [OK]
[21:27:01] [15] [products] extras -> extras [OK]
[21:27:01] [15] [users] Jack Bruce.png -> Jack Bruce.png [OK]
[21:27:01] [16] [brands] Sigma.png -> Sigma.png [OK]
[21:27:01] [16] [products] extras -> extras [OK]
[21:27:01] [16] [users] Mohamed Zirri.jpg -> Mohamed Zirri.jpg [OK]
[21:27:01] [163] [customers] orange.png -> orange.png [OK]
[21:27:01] [164] [customers] 45f5eba5_a6843230.png -> 45f5eba5_a6843230.png [OK]
[21:27:01] [164] [customers] df1d2e95_f0f6c304.png -> df1d2e95_f0f6c304.png [OK]
[21:27:01] [17] [brands] Bosch.png -> Bosch.png [OK]
[21:27:01] [17] [products] extras -> extras [OK]
[21:27:01] [17] [users] Mithun Kumar Majumdar.png -> Mithun Kumar Majumdar.png [OK]
[21:27:01] [18] [brands] Joby.png -> Joby.png [OK]
[21:27:01] [18] [products] extras -> extras [OK]
[21:27:01] [18] [users] Ali Raza.png -> Ali Raza.png [OK]
[21:27:01] [19] [brands] GoPro.png -> GoPro.png [OK]
[21:27:01] [19] [products] extras -> extras [OK]
[21:27:01] [19] [users] Isaac Henry.jpg -> Isaac Henry.jpg [OK]
[21:27:01] [2] [brands] Fujifilm.png -> Fujifilm.png [OK]
[21:27:01] [2] [products] extras -> extras [OK]
[21:27:01] [2] [users] Allada Pavan.png -> Allada Pavan.png [OK]
[21:27:01] [20] [brands] Manfrotto.png -> Manfrotto.png [OK]
[21:27:01] [20] [users] Svetlana Stasovska.png -> Svetlana Stasovska.png [OK]
[21:27:01] [21] [brands] Google.png -> Google.png [OK]
[21:27:01] [21] [products] extras -> extras [OK]
[21:27:01] [21] [users] Mike Gates.png -> Mike Gates.png [OK]
[21:27:01] [22] [brands] LG.png -> LG.png [OK]
[21:27:01] [22] [products] extras -> extras [OK]
[21:27:01] [22] [users] Pedro Quintero.png -> Pedro Quintero.png [OK]
[21:27:01] [23] [brands] Motorola.png -> Motorola.png [OK]
[21:27:01] [23] [products] extras -> extras [OK]
[21:27:01] [23] [users] Amina Elshal.png -> Amina Elshal.png [OK]
[21:27:01] [24] [brands] Pantech.png -> Pantech.png [OK]
[21:27:01] [24] [products] extras -> extras [OK]
[21:27:01] [25] [brands] Huawei.png -> Huawei.png [OK]
[21:27:01] [25] [products] extras -> extras [OK]
[21:27:01] [26] [brands] Xiaomi.png -> Xiaomi.png [OK]
[21:27:01] [27] [brands] Hovamp.png -> Hovamp.png [OK]
[21:27:01] [27] [products] extras -> extras [OK]
[21:27:01] [27] [users] 0afbcdc2d1724cbb3322f4f57b62fb67.png -> 0afbcdc2d1724cbb3322f4f57b62fb67.png [OK]
[21:27:01] [28] [brands] Aioneus.png -> Aioneus.png [OK]
[21:27:01] [28] [products] extras -> extras [OK]
[21:27:01] [29] [brands] XIAE.png -> XIAE.png [OK]
[21:27:01] [29] [customers] AREmoji_20230816_122317_1544.png -> AREmoji_20230816_122317_1544.png [OK]
[21:27:01] [29] [products] extras -> extras [OK]
[21:27:01] [3] [brands] Sony.png -> Sony.png [OK]
[21:27:01] [3] [categories] 34 -> 34 [OK]
[21:27:01] [3] [categories] 35 -> 35 [OK]
[21:27:01] [3] [products] extras -> extras [OK]
[21:27:01] [30] [brands] Everyworth.png -> Everyworth.png [OK]
[21:27:01] [30] [products] extras -> extras [OK]
[21:27:01] [31] [brands] Lexar.png -> Lexar.png [OK]
[21:27:01] [31] [products] extras -> extras [OK]
[21:27:01] [32] [brands] Nulaxy.png -> Nulaxy.png [OK]
[21:27:01] [32] [categories] 0afbcdc2d1724cbb3322f4f57b62fb67.png -> 0afbcdc2d1724cbb3322f4f57b62fb67.png [OK]
[21:27:01] [32] [customers] AREmoji_20230816_122312_122.png -> AREmoji_20230816_122312_122.png [OK]
[21:27:01] [32] [customers] Tulips.jpg -> Tulips.jpg [OK]
[21:27:01] [32] [products] extras -> extras [OK]
[21:27:01] [33] [brands] Fitfort.png -> Fitfort.png [OK]
[21:27:01] [33] [products] extras -> extras [OK]
[21:27:01] [34] [brands] PopSocket.png -> PopSocket.png [OK]
[21:27:01] [34] [products] extras -> extras [OK]
[21:27:01] [35] [brands] SHAWE.png -> SHAWE.png [OK]
[21:27:01] [35] [products] extras -> extras [OK]
[21:27:01] [36] [brands] Lenovo.png -> Lenovo.png [OK]
[21:27:01] [36] [customers] a18c9920c249d9bb6d3a1efb120bd8cc.png -> a18c9920c249d9bb6d3a1efb120bd8cc.png [OK]
[21:27:01] [36] [products] extras -> extras [OK]
[21:27:01] [37] [brands] Acer.png -> Acer.png [OK]
[21:27:01] [37] [products] extras -> extras [OK]
[21:27:01] [38] [brands] Dell.png -> Dell.png [OK]
[21:27:01] [39] [brands] Intel.png -> Intel.png [OK]
[21:27:01] [39] [products] extras -> extras [OK]
