=== Tenant Migration Log Started: 2026-01-17T23:29:33.470619600 ===
[23:29:33] [1] [brands] 57 -> 57 [OK]
[23:29:33] [1] [products] extras -> extras [OK]
[23:29:33] [10] [brands] Samsung.png -> Samsung.png [OK]
[23:29:33] [10] [products] extras -> extras [OK]
[23:29:33] [10] [users] Frederick Santos.png -> Frederick Santos.png [OK]
[23:29:33] [100] [products] extras -> extras [OK]
[23:29:33] [101] [products] extras -> extras [OK]
[23:29:33] [102] [products] extras -> extras [OK]
[23:29:33] [103] [products] extras -> extras [OK]
[23:29:33] [104] [products] extras -> extras [OK]
[23:29:33] [105] [products] extras -> extras [OK]
[23:29:33] [106] [products] extras -> extras [OK]
[23:29:33] [107] [products] batch-files-automate-670x335.jpg -> batch-files-automate-670x335.jpg [OK]
[23:29:33] [11] [brands] Olympus.png -> Olympus.png [OK]
[23:29:33] [11] [profile] node-debug-icon.png -> node-debug-icon.png [OK]
[23:29:33] [11] [users] 33 -> 33 [OK]
[23:29:33] [11] [users] Anna Maria.jpg -> Anna Maria.jpg [OK]
[23:29:33] [117] [customers] Tulips.jpg -> Tulips.jpg [OK]
[23:29:33] [12] [brands] Caden.png -> Caden.png [OK]
[23:29:33] [12] [products] extras -> extras [OK]
[23:29:33] [12] [users] 9229155e95b85d9466a466621062a9fe.png -> 9229155e95b85d9466a466621062a9fe.png [OK]
[23:29:33] [12] [users] Satya Narayana.png -> Satya Narayana.png [OK]
[23:29:33] [124] [products] 0afbcdc2d1724cbb3322f4f57b62fb67.png -> 0afbcdc2d1724cbb3322f4f57b62fb67.png [OK]
[23:29:33] [13] [brands] amazonbasics.png -> amazonbasics.png [OK]
[23:29:33] [13] [users] Matthew.png -> Matthew.png [OK]
[23:29:33] [139] [customers] Penguins.jpg -> Penguins.jpg [OK]
[23:29:33] [14] [brands] Nikon.png -> Nikon.png [OK]
[23:29:33] [14] [products] extras -> extras [OK]
[23:29:33] [14] [users] Dave Kumar.png -> Dave Kumar.png [OK]
[23:29:33] [144] [customers] Penguins.jpg -> Penguins.jpg [OK]
[23:29:33] [144] [customers] Tulips.jpg -> Tulips.jpg [OK]
[23:29:33] [15] [brands] Neewer.png -> Neewer.png [OK]
[23:29:33] [15] [products] extras -> extras [OK]
[23:29:33] [15] [users] Jack Bruce.png -> Jack Bruce.png [OK]
[23:29:33] [16] [brands] Sigma.png -> Sigma.png [OK]
[23:29:33] [16] [products] extras -> extras [OK]
[23:29:33] [16] [users] Mohamed Zirri.jpg -> Mohamed Zirri.jpg [OK]
[23:29:33] [163] [customers] orange.png -> orange.png [OK]
[23:29:33] [164] [customers] 45f5eba5_a6843230.png -> 45f5eba5_a6843230.png [OK]
[23:29:33] [164] [customers] df1d2e95_f0f6c304.png -> df1d2e95_f0f6c304.png [OK]
[23:29:33] [17] [brands] Bosch.png -> Bosch.png [OK]
